Date,Close
2024-01-12,2107.88
2024-01-19,2223.72
2024-01-26,2355.22
2024-02-02,2487.17
2024-02-09,2893.84
2024-02-16,3154.39
2024-03-01,3585.22
2024-03-15,3654.81
2024-03-22,3568.55
2024-03-29,3631.02
2024-04-05,3517.03
2024-04-12,3558.77
2024-04-19,2896.73
2024-04-26,3620.08
2024-05-03,2923.18
2024-05-10,3482.42
2024-05-17,2735.70
2024-05-24,2924.93
2024-05-31,3109.49
2024-06-07,3166.57
2024-06-14,3087.71
2024-06-21,3571.02
2024-06-28,3028.72
2024-07-05,3703.21
2024-07-12,3195.03
2024-07-19,3899.21
2024-07-26,3226.09
2024-08-02,2985.36
2024-08-09,3183.54
2024-08-16,3663.49
2024-08-23,3083.68
2024-08-30,2841.83
2024-09-06,2852.78
2024-09-13,2642.32
2024-09-20,2609.71
2024-09-27,2400.97
2024-10-04,2430.23
2024-10-11,2832.97
2024-10-18,3216.48
2024-10-25,3022.68
2024-11-01,2975.77
2024-11-08,3074.40
2024-11-15,2937.87
2024-11-22,3355.93
2024-11-29,3462.96
2024-12-06,4042.37
2024-12-13,4188.16
2024-12-20,4184.38
2024-12-27,3705.44
2025-01-10,3499.22
2025-01-17,3133.76
2025-01-24,3218.70
2025-01-31,3110.40
2025-02-07,2767.25
2025-02-14,2499.64
2025-02-21,2502.31
2025-02-28,2433.90
2025-03-07,2072.27
2025-03-14,2574.38
2025-03-21,2207.77
2025-03-28,2106.86
2025-04-04,2161.99
2025-04-11,1893.47
2025-04-18,1862.78
2025-04-25,1847.12
