Date,Close
2024-01-12,881.30
2024-01-19,876.46
2024-01-26,881.53
2024-02-02,924.47
2024-02-09,894.43
2024-02-16,921.81
2024-03-01,903.53
2024-03-15,926.75
2024-03-22,904.48
2024-03-29,941.80
2024-04-05,962.86
2024-04-12,950.07
2024-04-19,952.87
2024-04-26,977.95
2024-05-03,951.83
2024-05-10,945.23
2024-05-17,1000.65
2024-05-24,972.59
2024-05-31,972.99
2024-06-07,924.49
2024-06-14,939.22
2024-06-21,1004.48
2024-06-28,1026.56
2024-07-05,988.56
2024-07-12,997.23
2024-07-19,1001.48
2024-07-26,944.77
2024-08-02,1007.20
2024-08-09,1004.34
2024-08-16,930.33
2024-08-23,946.02
2024-08-30,1005.91
2024-09-06,966.77
2024-09-13,1006.70
2024-09-20,940.21
2024-09-27,927.83
2024-10-04,917.21
2024-10-11,895.14
2024-10-18,933.32
2024-10-25,905.59
2024-11-01,895.28
2024-11-08,877.31
2024-11-15,891.22
2024-11-22,881.42
2024-11-29,892.72
2024-12-06,939.73
2024-12-13,929.86
2024-12-20,924.82
2024-12-27,939.76
2025-01-10,977.31
2025-01-17,938.31
2025-01-24,887.41
2025-01-31,920.01
2025-02-07,927.44
2025-02-14,903.60
2025-02-21,958.44
2025-02-28,962.14
2025-03-07,924.62
2025-03-14,920.14
2025-03-21,938.36
2025-03-28,924.45
2025-04-04,900.19
2025-04-11,988.92
2025-04-18,958.72
2025-04-25,916.83
