Date,Close
2024-01-12,44294.99
2024-01-19,45313.28
2024-01-26,48157.56
2024-02-02,52347.69
2024-02-09,55071.38
2024-02-16,59411.49
2024-03-01,70349.55
2024-03-15,66752.82
2024-03-22,67203.77
2024-03-29,69542.10
2024-04-05,68698.97
2024-04-12,67418.30
2024-04-19,59555.67
2024-04-26,75566.02
2024-05-03,59264.17
2024-05-10,71362.30
2024-05-17,57375.34
2024-05-24,60120.57
2024-05-31,62815.65
2024-06-07,63509.51
2024-06-14,62548.06
2024-06-21,67578.93
2024-06-28,60634.75
2024-07-05,72472.64
2024-07-12,63723.87
2024-07-19,74014.24
2024-07-26,65211.81
2024-08-02,61346.89
2024-08-09,69357.86
2024-08-16,79915.82
2024-08-23,66382.70
2024-08-30,65919.58
2024-09-06,64389.84
2024-09-13,63539.40
2024-09-20,61900.66
2024-09-27,60582.23
2024-10-04,62171.43
2024-10-11,68613.32
2024-10-18,82092.31
2024-10-25,74968.97
2024-11-01,75848.52
2024-11-08,76912.05
2024-11-15,75004.22
2024-11-22,84736.91
2024-11-29,87152.04
2024-12-06,100275.72
2024-12-13,109976.22
2024-12-20,111228.55
2024-12-27,104896.26
2025-01-10,110957.99
2025-01-17,98155.45
2025-01-24,100258.58
2025-01-31,101049.53
2025-02-07,93741.87
2025-02-14,93103.11
2025-02-21,92692.10
2025-02-28,94377.31
2025-03-07,85340.92
2025-03-14,118600.49
2025-03-21,97586.71
2025-03-28,96920.66
2025-04-04,101885.03
2025-04-11,91351.37
2025-04-18,101240.90
2025-04-25,98369.89
