Date,Close
2024-01-12,832.88
2024-01-19,796.73
2024-01-26,817.20
2024-02-02,841.08
2024-02-09,817.54
2024-02-16,842.50
2024-03-01,856.97
2024-03-15,845.21
2024-03-22,840.17
2024-03-29,866.25
2024-04-05,882.17
2024-04-12,865.05
2024-04-19,852.81
2024-04-26,909.52
2024-05-03,856.81
2024-05-10,867.16
2024-05-17,902.07
2024-05-24,833.94
2024-05-31,879.39
2024-06-07,838.03
2024-06-14,836.41
2024-06-21,876.92
2024-06-28,886.43
2024-07-05,836.98
2024-07-12,845.52
2024-07-19,858.62
2024-07-26,828.30
2024-08-02,857.85
2024-08-09,892.57
2024-08-16,820.87
2024-08-23,811.43
2024-08-30,834.88
2024-09-06,819.40
2024-09-13,853.01
2024-09-20,838.72
2024-09-27,819.05
2024-10-04,820.01
2024-10-11,792.91
2024-10-18,812.93
2024-10-25,781.90
2024-11-01,812.23
2024-11-08,776.32
2024-11-15,802.79
2024-11-22,798.52
2024-11-29,783.19
2024-12-06,834.28
2024-12-13,800.95
2024-12-20,818.47
2024-12-27,801.74
2025-01-10,855.66
2025-01-17,814.14
2025-01-24,766.63
2025-01-31,822.23
2025-02-07,802.45
2025-02-14,763.58
2025-02-21,784.33
2025-02-28,821.51
2025-03-07,812.61
2025-03-14,790.55
2025-03-21,783.45
2025-03-28,814.82
2025-04-04,791.37
2025-04-11,832.51
2025-04-18,798.98
2025-04-25,779.00
