Date,Close
2024-01-12,7160.16
2024-01-19,6606.56
2024-01-26,6869.12
2024-02-02,7177.52
2024-02-09,7001.72
2024-02-16,7258.60
2024-03-01,7324.29
2024-03-15,7276.40
2024-03-22,7105.64
2024-03-29,7626.67
2024-04-05,7610.53
2024-04-12,7363.64
2024-04-19,7551.72
2024-04-26,7808.79
2024-05-03,7539.33
2024-05-10,7639.40
2024-05-17,7772.99
2024-05-24,7202.92
2024-05-31,7468.85
2024-06-07,7056.44
2024-06-14,7159.47
2024-06-21,7475.94
2024-06-28,7614.86
2024-07-05,7210.17
2024-07-12,7207.89
2024-07-19,7244.69
2024-07-26,7009.23
2024-08-02,7415.52
2024-08-09,7486.46
2024-08-16,7036.36
2024-08-23,6944.46
2024-08-30,7162.52
2024-09-06,7216.75
2024-09-13,7179.37
2024-09-20,7037.03
2024-09-27,7225.97
2024-10-04,7066.19
2024-10-11,6847.08
2024-10-18,7128.48
2024-10-25,7013.71
2024-11-01,7380.83
2024-11-08,6900.11
2024-11-15,7101.50
2024-11-22,6937.29
2024-11-29,7066.43
2024-12-06,7419.32
2024-12-13,7164.92
2024-12-20,7306.90
2024-12-27,7064.53
2025-01-10,7541.25
2025-01-17,7219.93
2025-01-24,6944.09
2025-01-31,7139.80
2025-02-07,7147.97
2025-02-14,6664.72
2025-02-21,7169.80
2025-02-28,7283.06
2025-03-07,7193.58
2025-03-14,6931.97
2025-03-21,7212.38
2025-03-28,7211.95
2025-04-04,7137.49
2025-04-11,7343.79
2025-04-18,7147.59
2025-04-25,7190.46
