Date,Close
2024-01-12,323.76
2024-01-19,305.51
2024-01-26,311.99
2024-02-02,323.99
2024-02-09,316.16
2024-02-16,323.66
2024-03-01,333.32
2024-03-15,332.37
2024-03-22,331.49
2024-03-29,337.88
2024-04-05,346.85
2024-04-12,332.81
2024-04-19,327.68
2024-04-26,344.91
2024-05-03,329.00
2024-05-10,322.25
2024-05-17,349.50
2024-05-24,320.63
2024-05-31,328.88
2024-06-07,313.41
2024-06-14,326.14
2024-06-21,324.71
2024-06-28,320.50
2024-07-05,301.24
2024-07-12,293.46
2024-07-19,298.02
2024-07-26,292.22
2024-08-02,298.71
2024-08-09,309.35
2024-08-16,281.29
2024-08-23,274.22
2024-08-30,288.19
2024-09-06,277.87
2024-09-13,292.13
2024-09-20,276.68
2024-09-27,271.24
2024-10-04,266.60
2024-10-11,262.03
2024-10-18,278.64
2024-10-25,261.04
2024-11-01,272.43
2024-11-08,258.84
2024-11-15,261.50
2024-11-22,251.80
2024-11-29,250.57
2024-12-06,264.93
2024-12-13,249.09
2024-12-20,259.88
2024-12-27,252.65
2025-01-10,262.61
2025-01-17,247.35
2025-01-24,242.12
2025-01-31,248.76
2025-02-07,248.23
2025-02-14,232.20
2025-02-21,242.80
2025-02-28,246.77
2025-03-07,253.50
2025-03-14,239.14
2025-03-21,236.75
2025-03-28,244.07
2025-04-04,235.08
2025-04-11,244.77
2025-04-18,236.44
2025-04-25,231.72
